date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:20:42	21120/21120	---M-Z	200	added ('OK')	text/html	date:Thu,%2025%20Feb%202016%2007:02:35%20GMT	http://www.gpower.co/like.html	./www.gpower.co/like.html	(from )
16:20:43	66/66	---M--	200	added ('OK')	text/plain	date:Tue,%2004%20Aug%202015%2006:09:02%20GMT	http://www.gpower.co/robots.txt		(from )
16:20:46	27231/27231	---M--	200	added ('OK')	text/css	date:Wed,%2001%20Jul%202015%2002:47:31%20GMT	http://www.gpower.co/css/font-awesome.css	./www.gpower.co/css/font-awesome.css	(from http://www.gpower.co/like.html)
16:20:48	117305/117305	---M--	200	added ('OK')	text/css	date:Wed,%2001%20Jul%202015%2002:48:11%20GMT	http://www.gpower.co/css/bootstrap.min.css	./www.gpower.co/css/bootstrap.min.css	(from http://www.gpower.co/like.html)
16:20:48	71093/71093	---M--	200	added ('OK')	text/css	date:Wed,%2001%20Jul%202015%2002:48:14%20GMT	http://www.gpower.co/css/animate.css	./www.gpower.co/css/animate.css	(from http://www.gpower.co/like.html)
16:20:50	16822/16822	---M--	200	added ('OK')	text/css	date:Wed,%2001%20Jul%202015%2002:47:52%20GMT	http://www.gpower.co/css/swiper.css	./www.gpower.co/css/swiper.css	(from http://www.gpower.co/like.html)
16:20:50	1377/1377	---M--	200	added ('OK')	text/css	date:Wed,%2001%20Jul%202015%2002:47:34%20GMT	http://www.gpower.co/css/nanoscroller.css	./www.gpower.co/css/nanoscroller.css	(from http://www.gpower.co/like.html)
16:20:54	108738/108738	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2001%20Jul%202015%2002:45:43%20GMT	http://www.gpower.co/font/glyphicons-halflings-regular.svg	./www.gpower.co/font/glyphicons-halflings-regular.svg	(from http://www.gpower.co/like.html)
16:20:55	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2001%20Jul%202015%2002:45:31%20GMT	http://www.gpower.co/font/glyphicons-halflings-regular.eot	./www.gpower.co/font/glyphicons-halflings-regular.eot	(from http://www.gpower.co/like.html)
16:20:55	45404/45404	---M--	200	added ('OK')	text/plain	date:Wed,%2001%20Jul%202015%2002:45:34%20GMT	http://www.gpower.co/font/glyphicons-halflings-regular.ttf	./www.gpower.co/font/glyphicons-halflings-regular.ttf	(from http://www.gpower.co/like.html)
16:20:56	8156/8156	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2030%20Sep%202015%2003:54:38%20GMT	http://www.gpower.co/font/gp_is_icons.eot?2869640	./www.gpower.co/font/gp_is_icons8add.eot	(from http://www.gpower.co/like.html)
16:20:56	23424/23424	---M--	200	added ('OK')	text/plain	date:Wed,%2001%20Jul%202015%2002:45:29%20GMT	http://www.gpower.co/font/glyphicons-halflings-regular.woff	./www.gpower.co/font/glyphicons-halflings-regular.woff	(from http://www.gpower.co/like.html)
16:20:56	4976/4976	---M--	200	added ('OK')	text/plain	date:Wed,%2030%20Sep%202015%2003:54:38%20GMT	http://www.gpower.co/font/gp_is_icons.woff?2869640	./www.gpower.co/font/gp_is_icons8add.woff	(from http://www.gpower.co/like.html)
16:20:56	8823/8823	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2030%20Sep%202015%2003:54:37%20GMT	http://www.gpower.co/font/gp_is_icons.svg?2869640	./www.gpower.co/font/gp_is_icons8add.svg	(from http://www.gpower.co/like.html)
16:20:56	7976/7976	---M--	200	added ('OK')	text/plain	date:Wed,%2030%20Sep%202015%2003:54:37%20GMT	http://www.gpower.co/font/gp_is_icons.ttf?2869640	./www.gpower.co/font/gp_is_icons8add.ttf	(from http://www.gpower.co/like.html)
16:20:57	5782/5782	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2001%20Jul%202015%2002:04:43%20GMT	http://www.gpower.co/image/shape/LOGO.svg	./www.gpower.co/image/shape/LOGO.svg	(from http://www.gpower.co/like.html)
16:20:58	24414/24414	---M-Z	200	added ('OK')	text/html	date:Thu,%2025%20Feb%202016%2007:02:33%20GMT	http://www.gpower.co/frame.html	./www.gpower.co/frame.html	(from http://www.gpower.co/like.html)
16:20:58	28324/28324	---M-Z	200	added ('OK')	text/html	date:Thu,%2025%20Feb%202016%2007:02:37%20GMT	http://www.gpower.co/	./www.gpower.co/index.html	(from http://www.gpower.co/like.html)
16:20:58	22198/22198	---M-Z	200	added ('OK')	text/html	date:Thu,%2025%20Feb%202016%2007:02:35%20GMT	http://www.gpower.co/shape.html	./www.gpower.co/shape.html	(from http://www.gpower.co/like.html)
16:20:59	21436/21436	---M-Z	200	added ('OK')	text/html	date:Thu,%2025%20Feb%202016%2007:02:42%20GMT	http://www.gpower.co/size.html	./www.gpower.co/size.html	(from http://www.gpower.co/like.html)
16:20:59	5911/5911	---M-Z	200	added ('OK')	text/html	date:Thu,%2025%20Feb%202016%2007:02:39%20GMT	http://www.gpower.co/kiki_en.html	./www.gpower.co/kiki_en.html	(from http://www.gpower.co/like.html)
16:21:00	1287/1287	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Feb%202016%2006:57:20%20GMT	http://www.gpower.co/image/common/forcd.png	./www.gpower.co/image/common/forcd.png	(from http://www.gpower.co/like.html)
16:21:00	21336/21336	---M-Z	200	added ('OK')	text/html	date:Thu,%2025%20Feb%202016%2007:02:35%20GMT	http://www.gpower.co/repost.html	./www.gpower.co/repost.html	(from http://www.gpower.co/like.html)
16:21:00	1317/1317	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Jul%202015%2010:30:37%20GMT	http://www.gpower.co/image/common/forig.png	./www.gpower.co/image/common/forig.png	(from http://www.gpower.co/like.html)
16:21:00	21114/21114	---M-Z	200	added ('OK')	text/html	date:Thu,%2025%20Feb%202016%2007:02:51%20GMT	http://www.gpower.co/follow.html	./www.gpower.co/follow.html	(from http://www.gpower.co/like.html)
16:21:02	5940/5940	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Jul%202015%2002:07:21%20GMT	http://www.gpower.co/image/gp/appicon9.png	./www.gpower.co/image/gp/appicon9.png	(from http://www.gpower.co/like.html)
16:21:03	10837/10837	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Jul%202015%2002:07:00%20GMT	http://www.gpower.co/image/gp/appicon7.png	./www.gpower.co/image/gp/appicon7.png	(from http://www.gpower.co/like.html)
16:21:03	39698/39698	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20Jul%202015%2009:12:18%20GMT	http://www.gpower.co/image/like/bg_like.jpg	./www.gpower.co/image/like/bg_like.jpg	(from http://www.gpower.co/like.html)
16:21:03	9453/9453	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Jul%202015%2002:04:41%20GMT	http://www.gpower.co/image/gp/appicon14.png	./www.gpower.co/image/gp/appicon14.png	(from http://www.gpower.co/like.html)
16:21:04	3499/3499	---M--	200	added ('OK')	image/png	date:Thu,%2029%20Oct%202015%2004:01:42%20GMT	http://www.gpower.co/image/gp/appicon2.png	./www.gpower.co/image/gp/appicon2.png	(from http://www.gpower.co/like.html)
16:21:04	23682/23682	---M-Z	200	added ('OK')	text/html	date:Thu,%2025%20Feb%202016%2007:02:36%20GMT	http://www.gpower.co/picquote.html	./www.gpower.co/picquote.html	(from http://www.gpower.co/like.html)
16:21:05	6472/6472	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Jul%202015%2009:13:09%20GMT	http://www.gpower.co/image/gp/appicon16.png	./www.gpower.co/image/gp/appicon16.png	(from http://www.gpower.co/like.html)
